"no","id","context","sentence","intentionality","factivity","pictoriality","sense"
101,"B28","W_non_ac_polit_law_edu","  not be as' coherent'' broad' and' balanced'as the curriculum planners imagine. To illustrate this one has only to look at the account of a pupil",-1.59324507047613,-0.987634495551847,-0.882292793393351,"4-FALSE_PERCEPTION"
103,"FYB","S_interview_oral_history","  and drink. (SP:FYBPS004) Yes. (SP:PS25U) You know. Why not? (SP:FYBPSUNK) (unclear) imagine if the family is meeting round a table, and the dish is passed round",0.869356137546688,-0.987634495551847,1.35628885074141,"1-VIZUALIZE/PICTURE"
104,"JNE","S_courtroom","  re-fitted and the automatic door opener was used (pause) to open the door. I imagine you stick to your account and it follows that his account is not right.",-2.20889537248183,1.14687163503289,-0.882292793393351,"3-SUPPOSE/ASSUME"
105,"AR5","W_misc","  dogs are told and retold throughout the training clubs of Germany and as you can imagine, many German breeders want to get in on the act! The saddest story",0.561530986543836,1.45180108225928,-0.0428246768428166,"2-THINK/BELIVE"
107,"H98","W_fict_prose","  how? Why? Brampton may have been a quiet man but I can not imagine him allowing anyone to hustle him upstairs in a house full of people, tie",0.561530986543836,-1.29256394277824,1.07646614522456,"1-VIZUALIZE/PICTURE"
110,"ANL","W_fict_prose","  lifted an accusatory finger.' It is very difficult, as you can well imagine, for a parent to exercise proper control over the friendships of a daughter who",0.253705835540984,1.14687163503289,-0.882292793393351,"2-THINK/BELIVE"
111,"ATE","W_fict_prose","  change we'll lose everything -- and we might never get it back. Just imagine now, my dear brethren, if the modernists had their way we'd be",0.869356137546688,-0.987634495551847,-0.602470087876506,"1-VIZUALIZE/PICTURE"
113,"KCT","S_conv","  Can't I take them both? (SP:PS0FP) Take them both. (SP:PS0FS) I should imagine it's the shiny one but I don't (unclear)2. (SP:PS0FX) Why didn't you",-1.90107022147898,0.53701274058011,-0.322647382359662,"2-THINK/BELIVE"
114,"A70","W_pop_lore","  that interfering too much can prove to be very dangerous to a relationship.' Imagine how you would feel if you were on the receiving end of your criticism,",0.869356137546688,-0.987634495551847,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
115,"JYD","W_fict_prose","  Like that lion, its fierce eyes similar to Damian's. She could just imagine him closing in for the kill. The rest of the afternoon was tainted with",0.869356137546688,-0.682705048325456,1.35628885074141,"1-VIZUALIZE/PICTURE"
116,"ABD","W_pop_lore","  antitrust laws or passing intricate rules on cross share-holdings. But it is difficult to imagine America's corporate leaders advocating a crackdown on executive wining-and-dining, even for the Japanese",0.561530986543836,-0.987634495551847,-0.882292793393351,"1-VIZUALIZE/PICTURE"
